sample_name	percent_live_1	percent_live_2	percent_live_3	percent_injured_1	percent_injured_2	percent_injured_3	percent_dead_1	percent_dead_2	percent_dead_3	concentration_1	concentration_2	concentration_3	Method	Medium	Timepoint
CRYO2_C_04	52.07	55.81	57.36	3.09	3.26	3.5	44.84	40.93	39.14	221712500	230625000	230087500	CRYO2	C	3
LYO1_A_04	49.26	48.08	51.06	6.29	5.11	5.31	44.45	46.82	43.64	656333333	688576923	723080000	LYO1	D	3
LYO1_B_04	49.2	50.63	49.74	6.15	6.39	5.8	44.65	42.97	44.46	720440000	972500000	709600000	LYO1	E	3
LYO1_C_04	31.34	32.7	30.43	11.6	11.31	11.47	57.06	55.98	58.11	366057143	380222222	341042553	LYO1	F	3
LYO1_D_04	34.41	38.42	36.37	9.92	11.51	11.29	55.67	50.06	52.34	560562500	399697674	376186047	LYO1	G	3
LYO2_A_04	52.58	51.26	40.6	9.04	6.73	7.14	38.37	42.01	52.26	248809091	289950000	272775000	LYO2	D	3
LYO2_B_04	56.03	53.97	54.44	9.18	8.72	9.27	34.79	37.31	36.29	267750000	268350000	301350000	LYO2	E	3
LYO2_C_04	40.28	37.89	35.29	11.68	10.54	10.16	48.04	51.57	54.56	302766667	340687500	300616667	LYO2	F	3
LYO2_D_04	36.39	36.3	38.96	10.34	10.06	10.12	53.28	53.64	50.92	269235000	244309091	345150000	LYO2	G	3
CRYO1_A_05	52.54	55.44	55.5	3.15	3.77	3.4	44.31	40.79	41.11	268342857	235962500	234912500	CRYO1	A	3
CRYO1_B_05	60.37	60.24	64.33	4.49	4.37	4.98	35.14	35.39	30.69	310116667	240525000	363660000	CRYO1	B	3
CRYO1_C_05	50.91	51.3	58.71	3.2	3.31	3.9	45.89	45.39	37.39	207866667	235025000	234000000	CRYO1	C	3
CRYO2_A_05	64.09	66.1	61.61	3.28	3.87	3.02	32.63	30.03	35.37	231650000	264428571	268542857	CRYO2	A	3
CRYO2_B_05	65.98	63.65	66.78	2.91	2.92	3	31.12	33.43	30.22	268242857	235375000	262542857	CRYO2	B	3
CRYO2_C_05	49.76	52.14	58.53	3.73	3.43	4.06	46.51	44.43	37.41	62116667	226462500	230900000	CRYO2	C	3
LYO1_A_05	50.56	48.8	47.19	6.48	6.61	6.34	42.96	44.59	46.47	763916667	735200000	922150000	LYO1	D	3
LYO1_B_05	46.47	51.24	48.94	6.3	6.94	6.26	47.23	41.82	44.8	714440000	681269231	722520000	LYO1	E	3
LYO1_C_05	31.28	37.19	30.62	11.3	11.44	11.3	57.42	51.37	58.09	440292683	375533333	363456522	LYO1	F	3
LYO1_D_05	31.08	30.63	36.75	10.64	10.07	11.78	58.29	59.3	51.47	417250000	366617021	432125000	LYO1	G	3
LYO2_A_05	49.61	52.04	51.32	9.72	7.92	8.55	40.67	40.04	40.13	299833333	299883333	347906250	LYO2	D	3
LYO2_B_05	54.37	55.37	55.29	10.21	10.75	10.63	35.43	33.88	34.09	900050000	390471429	346143750	LYO2	E	3
LYO2_C_05	35.71	35.66	37.47	9.22	8.54	9.02	55.07	55.8	53.51	290950000	309300000	301966667	LYO2	F	3
LYO2_D_05	38.77	40.39	37.58	10.21	10.72	7.34	51.02	48.89	55.08	247554545	278865000	307733333	LYO2	G	3
Unpreserved_01	75.3	74	74.78	3.24	2.56	2.65	21.46	23.44	22.58	651000000	643000000	786000000	None	None	0
Unpreserved_02	75.74	71.83	74.42	3.26	2.51	2.73	21	25.66	22.86	776000000	695000000	749000000	None	None	0
Unpreserved_03	76.77	74.47	75.17	3.06	2.52	2.76	20.17	23.01	22.07	742000000	798000000	814000000	None	None	0
Unpreserved_04	74.78	74.22	74.47	3.51	2.82	3	21.71	22.95	22.53	776000000	779000000	752000000	None	None	0
Unpreserved_05	73.93	71.92	75.39	3.15	2.77	2.59	22.93	25.31	22.01	687000000	778000000	735000000	None	None	0
